strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown_integral,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,drawdown_integral_definition,drawdown_integral_recomputed
adaptive_core_overheat_28_cap33_hi25_m6004_m12010_ma120_oh23_ohh34,13.480326744640095,0.2104679533202365,0.1958605639975264,1.074580553760146,39.6336769895176,-0.2355627249337761,1376,0.8154445425125036,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi30_m6004_m12010_ma120_oh23_ohh34,13.477340695091504,0.2104501131961709,0.1963192443015594,1.071979030608459,39.63391777179332,-0.2355627249337758,1376,0.8160623712856724,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
adaptive_core_overheat_28_cap37_hi30_m6004_m12010_ma120_oh23_ohh38,13.456867493324838,0.2103277041507134,0.1965704561734042,1.0699863460924834,39.612833195583214,-0.2355627249337754,1368,0.816674315975287,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi30_m6004_m12010_ma120_oh23_ohh38,13.450195869847768,0.2102877798137685,0.1963226031421652,1.0711338197848292,39.63391777179344,-0.2355627249337761,1368,0.8161212121212121,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
adaptive_core_overheat_28_cap33_hi25_m6004_m12010_ma120_oh23_ohh38,13.436930460315102,0.2102083460598101,0.1958654658576683,1.0732282239716748,39.63367698951743,-0.2355627249337752,1368,0.8155386878493674,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s05_sc10_mc06_dw80_cap30_hi20,13.42996009022078,0.210166580065074,0.2030962277984522,1.034812819239746,41.520753175524575,-0.2451485545696698,1386,0.8111397469844073,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s05_sc08_mc08_dw100_cap35_hi30,13.414958213582423,0.210076626233052,0.2041800048994863,1.028879523910622,58.012300277041994,-0.2894301099778712,1397,0.8203283318623124,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s05_sc10_mc06_dw80_cap35_hi30,13.389921075087155,0.2099263054682636,0.2037159361214425,1.0304854370505354,38.54097091612368,-0.2422357624537117,1383,0.8140764930862019,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi25_m6005_m12010_ma90_dd02_oh20_ohh30,13.322524469390826,0.209520452200757,0.1932489233780187,1.0841998420395291,43.39138417021865,-0.2411553211366973,1382,0.8105072080023535,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi25_m6005_m12010_ma90_dd02_oh20_ohh28,13.287238104117291,0.2093072546705949,0.1932256619278655,1.0832270029885211,43.39138417021851,-0.2411553211366969,1385,0.8102718446601941,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
