horizon_td,mom_bucket,dd_bucket,count,win_rate,avg_return,median_return,avg_gain,avg_loss,expected_return,avg_max_drawdown,payoff_ratio
20,>20%,-20~-10%,3,1.0,0.11230259449639297,0.1543925452356658,0.11230259449639297,0.0,0.11230259449639297,-0.054324199925120754,
20,10-15%,-20~-10%,44,0.6818181818181818,0.048728469553714376,0.03208297603419252,0.08910645083550568,-0.037795776050124186,0.04872846955371435,-0.05060731357648711,2.3575769609105013
20,15-20%,-5~-2%,37,0.7567567567567568,0.04495882332703621,0.05689511328186514,0.07820217221122916,-0.05846492875711958,0.044958823327036226,-0.058734094945376715,1.3375911657414972
20,>20%,-10~-5%,17,0.8235294117647058,0.04377797236699092,0.036342139960588105,0.06430225231654056,-0.05200200073090744,0.04377797236699091,-0.054597005242617486,1.2365341989298204
20,0-5%,-20~-10%,182,0.7692307692307693,0.04142690133396612,0.040589168238718054,0.05790114191274387,-0.013487233928626345,0.041426901333966135,-0.026668669080499485,4.2930331170315075
20,5-10%,-20~-10%,152,0.8026315789473685,0.04077418457483337,0.033566577622019866,0.05652641555776845,-0.023284888089102566,0.04077418457483339,-0.03403596412545564,2.4276009118645097
20,10-15%,-10~-5%,105,0.638095238095238,0.03693584408787061,0.02187426114194224,0.07679184373693031,-0.03333657634599779,0.03693584408787061,-0.05171957369654072,2.3035312006822055
20,>20%,-2~0%,156,0.7564102564102564,0.036697572706829974,0.03573035174693073,0.060275791195194016,-0.03651900049387943,0.03669757270682997,-0.05140884366697364,1.6505323360450737
20,<=0%,-20~-10%,120,0.5166666666666667,0.02821227916718524,0.00020415093796466444,0.07398586320129771,-0.02071810376583153,0.028212279167185255,-0.027433576153816332,3.571073107728895
20,10-15%,-5~-2%,119,0.7142857142857143,0.027936878497684177,0.022702763755041877,0.05505216895703574,-0.039851347650694785,0.027936878497684163,-0.04812209099589657,1.3814380743050214
20,>20%,-5~-2%,25,0.72,0.025603762210869983,0.029166680103424936,0.0538719262618946,-0.047085802491764736,0.025603762210869983,-0.059532314039711307,1.1441225042584067
20,15-20%,-2~0%,141,0.6099290780141844,0.02366598602489813,0.02307421562974321,0.07235720669585348,-0.05246937720605024,0.023665986024898125,-0.05823906775535208,1.3790368887304036
20,5-10%,-10~-5%,314,0.6114649681528662,0.02364518500264224,0.011271094272108595,0.05587591447546561,-0.02707858597098143,0.023645185002642233,-0.03846450087772766,2.06347238867438
20,5-10%,-5~-2%,367,0.6321525885558583,0.01995435100667854,0.014352119472516245,0.05039361760250517,-0.03235609232837167,0.01995435100667854,-0.04457547421794388,1.5574692113953812
20,15-20%,-10~-5%,30,0.6,0.01750207931583514,0.01107397539445043,0.053850459814688355,-0.03702049143244468,0.017502079315835136,-0.057806781529107946,1.4546122358466027
20,0-5%,-10~-5%,225,0.6355555555555555,0.017404894027057843,0.015418810446131692,0.047581849874442556,-0.035220772877527694,0.01740489402705784,-0.034626880195913694,1.3509598451998122
20,0-5%,-2~0%,98,0.6224489795918368,0.016647525595051664,0.012494319149725874,0.03888839165115639,-0.02001984817312098,0.016647525595051667,-0.028299097766493607,1.9424918368446302
20,10-15%,-2~0%,216,0.5324074074074074,0.015236910792665237,0.007655323269122771,0.06546911774705012,-0.041958176333614594,0.015236910792665235,-0.05563796695530608,1.5603423091246187
20,0-5%,-5~-2%,114,0.5701754385964912,0.01221994015486243,0.0084217977674107,0.04004818813049177,-0.024695082669951997,0.01221994015486243,-0.035179311303190006,1.6217069878134414
20,<=0%,-10~-5%,138,0.5217391304347826,0.010858590236281147,0.0026908061224644175,0.04280781295545313,-0.023995107275542826,0.010858590236281149,-0.027373750687632203,1.7840225702631167
20,15-20%,-20~-10%,4,0.5,0.009888569257621688,0.020644228913022145,0.04984994407760668,-0.030072805562363303,0.009888569257621688,-0.06797095947017887,1.6576419507727889
20,<=0%,-2~0%,44,0.75,0.0057333220420322465,0.007802150418832587,0.012258333116232324,-0.013841711180567984,0.0057333220420322465,-0.017621352300346605,0.8856082139209405
