total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,max_drawdown_integral,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,strategy,risk_cap,vg_cap,vm_cap,overheat_cap,overheat_hi_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change,drawdown_integral_definition,drawdown_integral_recomputed
18.20473534791276,0.2351419263096237,0.2015145034902047,1.166873461894784,-0.2166079306467283,36.89666949477317,1568,0.8127925860547219,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg285_vm150_oc066_oh030,0.184,0.285,0.15,0.066,0.03,-1.1532807338010542e-06,-7.375715395108173e-06,0.0015886665368682,False,full_history,False
18.20473534791276,0.2351419263096237,0.2015145034902047,1.166873461894784,-0.2166079306467283,36.89666949477317,1568,0.8127925860547219,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg285_vm160_oc066_oh030,0.184,0.285,0.16,0.066,0.03,-1.1532807338010542e-06,-7.375715395108173e-06,0.0015886665368682,False,full_history,False
18.20473534791276,0.2351419263096237,0.2015145034902047,1.166873461894784,-0.2166079306467283,36.89666949477317,1568,0.8127925860547219,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg285_vm170_oc066_oh030,0.184,0.285,0.17,0.066,0.03,-1.1532807338010542e-06,-7.375715395108173e-06,0.0015886665368682,False,full_history,False
18.204715257990124,0.23514183397356,0.2015138802645015,1.1668766124939849,-0.2166035817500023,36.89587506376863,1568,0.8127828773168578,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg284_vm150_oc066_oh029,0.184,0.284,0.15,0.066,0.029,-1.2456167974850274e-06,-4.22511619424526e-06,0.0007942355323251,False,full_history,False
18.204715257990124,0.23514183397356,0.2015138802645015,1.1668766124939849,-0.2166035817500023,36.89587506376863,1568,0.8127828773168578,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg284_vm160_oc066_oh029,0.184,0.284,0.16,0.066,0.029,-1.2456167974850274e-06,-4.22511619424526e-06,0.0007942355323251,False,full_history,False
18.204715257990124,0.23514183397356,0.2015138802645015,1.1668766124939849,-0.2166035817500023,36.89587506376863,1568,0.8127828773168578,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg284_vm170_oc066_oh029,0.184,0.284,0.17,0.066,0.029,-1.2456167974850274e-06,-4.22511619424526e-06,0.0007942355323251,False,full_history,False
18.20469418702673,0.235141737128401,0.2015132759058686,1.1668796314851289,-0.2165992338957043,36.895080828236246,1568,0.8127731685789938,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg283_vm150_oc066_oh028,0.184,0.283,0.15,0.066,0.028,-1.34246195648835e-06,-1.206125050279283e-06,-5.684341886080804e-14,False,full_history,False
18.20469418702673,0.235141737128401,0.2015132759058686,1.1668796314851289,-0.2165992338957043,36.895080828236246,1568,0.8127731685789938,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg283_vm160_oc066_oh028,0.184,0.283,0.16,0.066,0.028,-1.34246195648835e-06,-1.206125050279283e-06,-5.684341886080804e-14,False,full_history,False
18.20469418702673,0.235141737128401,0.2015132759058686,1.1668796314851289,-0.2165992338957043,36.895080828236246,1568,0.8127731685789938,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg283_vm170_oc066_oh028,0.184,0.283,0.17,0.066,0.028,-1.34246195648835e-06,-1.206125050279283e-06,-5.684341886080804e-14,False,full_history,False
18.204589783207968,0.2351412572720743,0.2015140232264717,1.1668729228228978,-0.2166079306467284,36.896669494773235,1568,0.8127881729920566,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc184_vg283_oc066_oh030__stressbond_511260_vr90_vb-1__vmrf_rc184_vg285_vm150_oc066_oh029,0.184,0.285,0.15,0.066,0.029,-1.8223182831622609e-06,-7.914787281348978e-06,0.0015886665369322,False,full_history,False
