date,hs300_benchmark,base_pool,plus_sh_dividend,plus_soymeal,plus_coal,plus_reits
2023-08-02,0.9835078534031416,1.1362854283748216,1.1427307269942268,1.183295362364209,1.1046739762528521,1.1362854283748216
2023-08-03,0.9929319371727752,1.1371568491059503,1.1436070906443572,1.1697130005372554,1.105521154065756,1.1371568491059503
2023-08-04,0.9984293193717281,1.1424236271789752,1.1489037432159852,1.1816654789449745,1.1106414104121662,1.1424236271789752
2023-08-07,0.9903141361256547,1.1331380654478402,1.139565511427916,1.168626411591099,1.1016141729389681,1.1331380654478402
2023-08-08,0.9863874345549741,1.1359196875392046,1.1423629115839966,1.171495150310726,1.1043184103245474,1.1359196875392046
2023-08-09,0.9842931937172777,1.1292727175807724,1.1356782383291686,1.1950298972106448,1.097856359020663,1.1292727175807724
2023-08-10,0.9856020942408379,1.1292727175807724,1.1356782383291686,1.1966691700463246,1.097856359020663,1.1292727175807724
2023-08-11,0.960732984293194,1.1197630525906186,1.1203162227374386,1.205411958503284,1.0886112528394363,1.1197630525906186
2023-08-14,0.9536649214659688,1.1178570729266346,1.1175145740660413,1.2125154741245636,1.0867582975154542,1.1178570729266346
2023-08-15,0.9526178010471208,1.1235774502721014,1.1232331987520936,1.2223511111386431,1.0923195340059384,1.1235774502721014
2023-08-16,0.9447643979057595,1.1188165288726435,1.1219911279965522,1.2207118383029631,1.0876910614042183,1.1188165288726435
2023-08-17,0.9481675392670159,1.1178633305519852,1.1216476175096037,1.240383112331122,1.0867643810537142,1.1152130044789832
2023-08-18,0.9350785340314138,1.1153682786662245,1.1219648307925492,1.254590143573681,1.0843387414927612,1.111375445415788
2023-08-21,0.9214659685863875,1.1185375291336765,1.1112303796751313,1.2802720846659994,1.0874198234359036,1.0971487557762076
2023-08-22,0.9274869109947648,1.1167732743558634,1.1189591844796722,1.2414759608882417,1.0857046502128187,1.09432281899674
2023-08-23,0.9130890052356022,1.1121034548997193,1.1215354527478527,1.240383112331122,1.0811647450990307,1.0897468767631644
2023-08-24,0.9191099476439794,1.1104004614589431,1.114665404032705,1.2491259007880815,1.0795091289230445,1.0880781185419237
2023-08-25,0.9172774869109949,1.108103654515134,1.1159535381667953,1.27535426615896,1.07727621913124,1.0858274842304156
2023-08-28,0.9311518324607332,1.1211541258209865,1.1339874160440577,1.2879220245658392,1.0899636264229353,1.0986156023530436
2023-08-29,0.9369109947643979,1.1223405323033366,1.1339874160440577,1.2961183887442385,1.0907772583185453,1.0997781585460096
2023-08-30,0.936649214659686,1.124987414737543,1.1211060747031558,1.2933862673514387,1.0934591476210633,1.1023718307921726
2023-08-31,0.9316753926701572,1.1282920030761554,1.1234996524495946,1.2961183887442385,1.0966711234179842,1.1056099871031928
2023-09-01,0.937696335078534,1.126923967852399,1.1221374278709937,1.2824577817802394,1.095341427983095,1.1042694534452653
2023-09-04,0.9528795811518325,1.1302250944233563,1.12542453311064,1.2589615378021608,1.098550039029922,1.1075042175804284
2023-09-05,0.9458115183246073,1.130613675141572,1.1258114633562448,1.27262214476616,1.1006942498292234,1.1078849866736098
2023-09-06,0.9431937172774869,1.1298612703000848,1.125062254307871,1.2922934187943187,1.103827155663652,1.1071477074012006
2023-09-07,0.9293193717277487,1.1295476629461205,1.1247499789817816,1.2939326916299985,1.1053936085808662,1.106840404485265
2023-09-08,0.9238219895287959,1.1359678272825817,1.1311428740665803,1.2698900233733599,1.0834632677398666,1.1131315044752346
2023-09-11,0.9311518324607333,1.137770950817951,1.132938338946051,1.2824577817802394,1.0918176832983426,1.1148983798791634
2023-09-12,0.9298429319371729,1.1379712185320665,1.1331377560354146,1.2682507505376803,1.0897290794087233,1.115094621618196
2023-09-13,0.923298429319372,1.1401740664693922,1.135331247512122,1.2480330522309615,1.101216400801628,1.1172531857779497
2023-09-14,0.9225130890052359,1.147179744297161,1.1423071691558215,1.254571326769569,1.1424663276216036,1.1241180287013164
2023-09-15,0.9180628272251311,1.1383860319715382,1.1335508075804113,1.2449544037072242,1.1351562140079374,1.1155010960771252
2023-09-18,0.9214659685863876,1.133580180649231,1.1287653688149004,1.2341835089657025,1.1429884785940085,1.1107918566213906
2023-09-19,0.9201570680628275,1.1405961499370687,1.1349563616076557,1.2407044937693075,1.145599233456032,1.1176667841159527
2023-09-20,0.9154450261780107,1.1476013467342256,1.1376546233885951,1.2483245257556073,1.1382891198423655,1.1245311556788495
2023-09-21,0.9062827225130892,1.1448035376172419,1.1339731591595128,1.2452811572992593,1.128368251366675,1.1217895908239075
2023-09-22,0.9259162303664924,1.1410041896321366,1.130209754788503,1.2411483464715412,1.1226245906702232,1.1180666210028325
2023-09-25,0.9185863874345553,1.1450068353313503,1.1341745335818851,1.245502298136427,1.125235345532247,1.1219888016509458
2023-09-26,0.9130890052356022,1.1444069627260687,1.1288841598095631,1.2448497756488637,1.1106151183049136,1.1214009882643572
2023-09-27,0.9157068062827228,1.127545558513851,1.1113615745086343,1.2265084723062971,1.1027828537188424,1.1048785482906747
2023-09-28,0.9120418848167542,1.125585096352732,1.1090280821808471,1.2243759434411952,1.116358779001366,1.1120806627194917
2023-10-09,0.9094240837696339,1.1219258806860282,1.1068335319104483,1.2203955641267454,1.1294125533114852,1.1099902743720216
2023-10-10,0.9023560209424087,1.1095198394612698,1.0970556911451608,1.2069006640270963,1.1053936085808664,1.1053935819880654
2023-10-11,0.904450261780105,1.1075750532165907,1.095132752282867,1.204785186929153,1.0928619852431523,1.1035446560444773
2023-10-12,0.9138743455497385,1.1074289053639925,1.094988246229222,1.2046262119076405,1.0928619852431523,1.110150730010622
2023-10-13,0.9047120418848171,1.1052650967549147,1.092347684558285,1.2022724891942265,1.0975613439947953,1.106741914239648
2023-10-16,0.8934554973821993,1.1099335871319154,1.100209277742606,1.2073507256850153,1.1137480241393427,1.106741914239648
2023-10-17,0.8965968586387437,1.1157692001031663,1.0985542054932755,1.2136985212985012,1.1174259691128543,1.1011356530530942
2023-10-18,0.8892670157068067,1.1152113155031147,1.0890375400596235,1.213091672037852,1.1127505466479468,1.100805872983297
2023-10-19,0.8691099476439794,1.091211991446933,1.0650684078293524,1.186985964767515,1.094029191499296,1.1047632338208644
2023-10-20,0.8643979057591624,1.1021080323635077,1.0757033981351973,1.1988383341887467,1.1050639688472124,1.111688615286607
2023-10-23,0.854450261780105,1.0961144059094967,1.0698533687783602,1.192318656495747,1.0990542670370795,1.0895933506101896
2023-10-24,0.8557591623036651,1.096833641083978,1.0705553723011807,1.1931010178189072,1.0997754312542956,1.0932209313779595
2023-10-25,0.8609947643979059,1.0925182300370904,1.0663433511642582,1.1884068498799476,1.095448445951,1.104433453751067
2023-10-26,0.8643979057591624,1.1004298169563844,1.074065389915283,1.1970128244347067,1.1016845115933938,1.1004760929134996
2023-10-27,0.8785340314136127,1.1025875224798283,1.0761714004837444,1.1993599084041866,1.1037342928346703,1.0909124708893785
