variant,start_date,end_date,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,nonferrous_holding_share,latest_momentum,latest_exposure,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
base_pool,2023-04-04,2026-05-25,2.7933092335996794,0.5289110788799158,0.26954612244493675,1.9622284827635113,-0.18636288936308953,318,0.8914893617021278,0.0,0.18944323933477958,1.0,0.0,0.0,0.0,0.0,0
nonferrous_risk,2023-04-04,2026-05-25,2.216950379957379,0.45074232564046324,0.27570560676916916,1.6348681875658815,-0.14800221475478037,363,0.898936170212766,0.15824468085106383,0.18944323933477958,1.0,-0.5763588536423003,-0.0781687532394526,-0.32736029519762977,0.038360674608309164,45
nonferrous_cap_70,2023-04-04,2026-05-25,2.266470335532188,0.45781670459898693,0.26001040241021006,1.760763032383236,-0.1441040231891918,363,0.8550531914893617,0.15824468085106383,0.18944323933477958,1.0,-0.5268388980674916,-0.07109437428092891,-0.2014654503802753,0.042258866173897736,45
nonferrous_cap_60,2023-04-04,2026-05-25,2.279804856814927,0.4597091581624373,0.25585555194314735,1.7967527171917201,-0.1441040231891919,363,0.8404255319148937,0.15824468085106383,0.18944323933477958,1.0,-0.5135043767847525,-0.06920192071747855,-0.1654757655717911,0.042258866173897625,45
nonferrous_abs_08,2023-04-04,2026-05-25,2.837287361387176,0.5345334484693489,0.2743469321653674,1.948385003799312,-0.1441040231891919,344,0.8936170212765957,0.11436170212765957,0.18944323933477958,1.0,0.04397812778749666,0.005622369589433074,-0.01384347896419924,0.042258866173897625,26
nonferrous_abs_10,2023-04-04,2026-05-25,2.634303995331789,0.5082044265175751,0.2725651017110708,1.864524927539296,-0.17673207935156177,340,0.8928191489361702,0.09707446808510638,0.18944323933477958,1.0,-0.15900523826789037,-0.020706652362340705,-0.09770355522421514,0.009630810011527768,22
nonferrous_margin_03,2023-04-04,2026-05-25,2.452303936342232,0.48373082163549586,0.2764095675009339,1.7500509335077974,-0.17125455376428733,350,0.8957446808510638,0.11303191489361702,0.18944323933477958,1.0,-0.34100529725744755,-0.045180257244419986,-0.21217754925571386,0.015108335598802203,32
nonferrous_margin_05,2023-04-04,2026-05-25,2.8236081355581244,0.5327893592942523,0.2768154630756128,1.9247095280537838,-0.17673207935156154,335,0.8941489361702127,0.0797872340425532,0.18944323933477958,1.0,0.03029890195844498,0.0038782804143364658,-0.03751895470972744,0.00963081001152799,17
nonferrous_margin_03_cap_70,2023-04-04,2026-05-25,2.5668973726803586,0.49923977533139086,0.26239318652116345,1.9026400111617396,-0.14410402318919202,350,0.8654255319148936,0.11303191489361702,0.18944323933477958,1.0,-0.22641186091932086,-0.029671303548524985,-0.05958847160177161,0.042258866173897514,32
