strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
single_momentum,5.592614278750706,0.2077702505155301,0.2659350991755232,0.781281790781581,-0.2700958399720016,805,0.9892783505154639,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.0,0.0,0.0,0.0,0
threshold_dual_momentum,5.278918589924879,0.20189081344549642,0.24164526161577138,0.8354842635669529,-0.25350949628406305,930,0.8204123711340207,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,-0.31369568882582755,-0.005879437070033688,0.054202472785371936,0.016586343687938543,125
breadth_dual_momentum,1.0376143907817656,0.07384561950868718,0.20090420332048375,0.36756632408973616,-0.5038823556886864,1121,0.849278350515464,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,-4.554999887968941,-0.13392463100684293,-0.41371546669184484,-0.23378651571668485,316
