pool,defensive_codes,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
base_pool,"511580,518880,512890",5.9832133198122825,0.2145547224219606,0.2480552745300565,0.864947229315873,-0.25350949628406283,930,0.9121187139323989,159941,纳指ETF,纳指ETF广发,0.12915531335149866,1.0,0.0,0.0,0.0,0.0,0
plus_510880,"511580,518880,512890,510880",5.712964744288491,0.2097698534699488,0.24851808582782745,0.8440828472148973,-0.25350949628406283,1003,0.9129431162407253,159941,纳指ETF,纳指ETF广发,0.12915531335149866,1.0,-0.2702485755237918,-0.0047848689520118,-0.02086438210097563,0.0,73
plus_520550,"511580,518880,512890,520550",5.634836795580747,0.20835425646805694,0.2481017888499146,0.8397934470117734,-0.25350949628406283,940,0.9121187139323989,159941,纳指ETF,纳指ETF广发,0.12915531335149866,1.0,-0.34837652423153553,-0.006200465953903667,-0.025153782304099592,0.0,10
plus_both,"511580,518880,512890,510880,520550",5.378070302746933,0.2035938149185188,0.24856417560430666,0.8190794768535877,-0.25350949628406283,1013,0.9129431162407253,159941,纳指ETF,纳指ETF广发,0.12915531335149866,1.0,-0.6051430170653491,-0.010960907503441808,-0.04586775246228525,0.0,83
