date,hs300_benchmark,k_24_nav,k_25_nav,k_26_nav
2016-05-25,1.0,1.0,1.0,1.0
2016-05-26,1.0,1.0,1.0,1.0
2016-05-27,1.0006540222367561,1.0,1.0,1.0
2016-05-30,1.0013080444735123,1.0,1.0,1.0
2016-05-31,1.036298234139961,1.0,1.0,1.0
2016-06-01,1.0320470896010465,1.0,1.0,1.0
2016-06-02,1.0330281229561804,1.0,1.0,1.0
2016-06-03,1.0451275343361675,1.0,1.0,1.0
2016-06-06,1.0389143230869848,1.0,1.0,1.0
2016-06-07,1.0389143230869848,1.0,1.0,1.0
2016-06-08,1.0376062786134728,1.0,1.0,1.0
2016-06-13,1.0035971223021583,1.0,1.0,1.0
2016-06-14,1.0078482668410726,1.0,1.0,1.0
2016-06-15,1.0212557226945718,1.0,1.0,1.0
2016-06-16,1.0150425114453892,1.0,1.0,1.0
2016-06-17,1.0192936559843033,1.0,1.0,1.0
2016-06-20,1.0196206671026813,1.0,1.0,1.0
2016-06-21,1.0173315892740353,1.0,1.0,1.0
2016-06-22,1.0235448005232175,1.0,1.0,1.0
2016-06-23,1.0202746893394374,1.0,1.0,1.0
2016-06-24,1.0094833224329627,1.0,1.0,1.0
2016-06-27,1.0222367560497057,1.0,1.0,1.0
2016-06-28,1.027468933943754,1.0,1.0,1.0
2016-06-29,1.0320470896010463,1.0,1.0,1.0
2016-06-30,1.0336821451929363,1.0,1.0,1.0
2016-07-01,1.0327011118378022,1.0109510290986516,1.0,1.0
2016-07-04,1.0500327011118376,1.0225532662415613,1.011071966410077,1.0
2016-07-05,1.0526487900588617,1.0200136375706612,1.012678755303691,1.0019901899719714
2016-07-06,1.05788096795291,1.0241610275971735,1.0177122626304567,1.0069705699159142
2016-07-07,1.059189012426422,1.0201838005930972,1.018970639462148,1.0082156649018998
2016-07-08,1.0552648790058858,1.0146242158487206,1.0125055900507376,1.0044803799439428
2016-07-11,1.05788096795291,1.0218615902278887,1.0197278521471216,1.0107349168853
2016-07-12,1.084695879659908,1.0154706135928808,1.0133502204409668,1.004413529233808
2016-07-13,1.086984957488554,1.0079563397821214,1.0058516371036852,1.0056273040877663
2016-07-14,1.085349901896664,1.0023798178469505,1.0002867594433604,0.9991636102498324
2016-07-15,1.086657946370176,1.0032174611487725,1.0011226536713076,0.9999985659129939
2016-07-18,1.0827338129496398,0.9986950123837222,0.9983369210697874,0.9972159612078446
2016-07-19,1.0771746239372133,0.9935673122295321,0.9923171695462629,0.998608234801154
2016-07-20,1.0748855461085671,0.9914559062836891,0.9902084202485021,0.9955892790074016
2016-07-21,1.0807717462393718,1.0021398662954102,1.0008789373114944,1.001041243419368
2016-07-22,1.0712884238064089,0.9885185477244045,0.9872747575810468,0.9864474227288968
2016-07-25,1.070961412688031,0.9872285853338301,0.9960203016934773,0.9951856380877158
2016-07-26,1.084695879659908,0.9920144768855605,1.0018506644350977,1.0010111149935952
2016-07-27,1.0647482014388483,0.9891279168170285,0.9989354830642877,0.9980983765406556
2016-07-28,1.0676913015042506,1.001636343780668,1.0115679356711318,1.0107202431700608
2016-07-29,1.0640941792020924,0.9968254103331143,1.0067093000531149,1.0058656790818281
2016-08-01,1.0552648790058856,1.001636343780668,1.0115679356711318,1.0107202431700608
2016-08-02,1.0578809679529098,1.0102960239862646,1.0203134797835625,1.01945845852888
2016-08-03,1.0591890124264218,0.9939388502645821,1.0037941186823047,1.0029529406288884
2016-08-04,1.0624591236102021,0.9987497837121357,1.0086527543003216,1.0078075047171213
2016-08-05,1.0667102681491163,0.9958632236436035,1.0057375729295113,1.0048947662641816
2016-08-08,1.0755395683453228,1.0093338372967535,1.0193417526599586,1.0184875457112332
2016-08-09,1.0804447351209931,1.0131825840547966,1.0232286611543724,1.0223711969818194
2016-08-10,1.0771746239372129,1.008371650607243,1.0183700255363555,1.0175166328935867
2016-08-11,1.0758665794637008,1.008371650607243,1.0183700255363555,1.0175166328935867
2016-08-12,1.0948332243296262,1.0131825840547966,1.0232286611543724,1.0223711969818194
2016-08-15,1.1272073250490506,1.0102960239862646,1.0203134797835625,1.01945845852888
2016-08-16,1.1239372138652703,1.0122203973652861,1.016336122015111,1.021400284164173
2016-08-17,1.1213211249182462,1.0073696893489146,1.011459254387799,1.0175166328935867
2016-08-18,1.1196860693263562,1.011594937958557,1.0147875245236195,1.0184875457112332
2016-08-19,1.118378024852844,1.0118763273710627,1.0150698019991475,1.0178539586327273
2016-08-22,1.1105297580117715,1.0056861906447052,1.0088601292444779,1.0116272538458189
2016-08-23,1.1111837802485276,1.0070952080746802,1.0102735935236296,1.013044595007074
2016-08-24,1.1066056245912352,1.007376913027988,1.0105561875358042,1.0133279641245585
2016-08-25,1.1007194244604308,1.0006164667748816,1.003774405361499,1.0065275807232332
2016-08-26,1.0994113799869187,1.0017451141818887,1.0049066147718468,1.0076628955834075
2016-08-29,1.0990843688685408,0.9986422078092028,1.0017939156483016,1.0045416588776228
2016-08-30,1.1036625245258331,1.0003360179143208,1.0034930714062915,1.0062454751188286
2016-08-31,1.1082406801831253,0.9966676488782458,0.9998131250231374,1.0025554352946975
2016-09-01,1.0964682799215166,0.9944081118776007,0.9975464569394858,1.0002825501420634
2016-09-02,1.1013734466971867,0.9961037278410155,0.9992474242550488,1.0019881829096235
2016-09-05,1.103662524525833,1.0045782012434206,1.007748643036375,1.0105127190279615
2016-09-06,1.1131458469587956,1.004860089198873,1.0080314206282477,1.010796272228671
2016-09-07,1.1137998691955517,1.004545583341343,1.007715922192426,1.0104799084365346
2016-09-08,1.1121648136036615,1.0030860352469113,1.0062365975855667,1.008996526304361
2016-09-09,1.106605624591235,0.9983639964517027,1.0005983777279719,1.0039530270549712
2016-09-12,1.0846958796599075,0.9928020800369299,0.9950240135066462,0.9974614500028745
