strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,episode_peak_to_trough_20241008_20241017,annualized_diff,mdd_diff,episode_diff
baseline_threshold_dual,11.416992855671351,0.19728503464051617,0.22863326667395717,0.8628885792103683,-0.25350949628406283,1130,-0.25350949628406283,0.0,0.0,0.0
overheat_cap_70,12.51453161885783,0.20455552191209758,0.21898552667269286,0.9341052124318557,-0.2124721550014409,1185,-0.2124721550014409,0.007270487271581416,0.04103734128262193,0.04103734128262193
overheat_cap_40,13.560032181832527,0.2109882522837685,0.2125048364510827,0.9928632957600317,-0.2056329109184949,1185,-0.1714471603652732,0.01370321764325233,0.047876585365567936,0.08206233591878964
overheat_cap_50,13.218859800478565,0.20893760284076124,0.21429265587363686,0.9750105620230244,-0.20563291091849478,1185,-0.18512078672772303,0.011652568200245073,0.04787658536556805,0.0683887095563398
