date,hs300_benchmark,base_pool,nonferrous_risk,nonferrous_cap_70,nonferrous_cap_60,nonferrous_abs_08,nonferrous_abs_10,nonferrous_margin_03,nonferrous_margin_05,nonferrous_margin_03_cap_70
2025-11-10,1.2261780104712052,3.3280563969257364,2.742778734985215,2.79848379602904,2.8161940852637066,3.066833617290692,3.0878518632141523,3.006934302932889,3.3076664811319882,3.101650511400185
2025-11-11,1.2146596858638752,3.3459877352712417,2.7575566376521614,2.8135618337231625,2.831367544774826,3.0833575053148876,3.1044889960978495,3.0231354575823124,3.325487960017398,3.118361990448678
2025-11-12,1.2151832460732992,3.3334357984293876,2.747212105785299,2.8030072073372767,2.820746123117042,3.0717907836979506,3.092843003079261,3.011794649327716,3.313012924797611,3.106663955114733
2025-11-13,1.2274869109947655,3.3334357984293876,2.747212105785299,2.8030072073372767,2.820746123117042,3.0717907836979506,3.092843003079261,3.011794649327716,3.313012924797611,3.106663955114733
2025-11-14,1.2089005235602104,3.2652967127164683,2.6910560756509034,2.745710664099613,2.7630869769747894,3.0090000092060074,3.0296218981212126,2.950230261659909,3.245291305033055,3.043160334730462
2025-11-17,1.2007853403141373,3.1881919578307967,2.627511094183035,2.6808751020148884,2.6978411010769774,2.937947290701967,2.9580822267213156,2.880565296667391,3.1686589458257948,2.9713009748219448
2025-11-18,1.1937172774869123,3.0519137864049584,2.5151990339142434,2.5662820155395614,2.582522808792472,2.8123657417180805,2.8316400168052187,2.7574365213317766,3.033215706296683,2.8442937340534025
2025-11-19,1.1973821989528808,3.089569596930519,2.5462326295148303,2.5979458946972174,2.614387073765822,2.8470659065688912,2.8665779958609825,2.7914589460955646,3.070640811956043,2.8793878400552364
2025-11-20,1.191884816753928,3.1050210439215924,2.5589667587414313,2.610938650489957,2.627462054606058,2.861304552618214,2.880914225086189,2.80541949256657,3.085997592972306,2.8937881334234636
2025-11-21,1.1625654450261793,2.9964688025394923,2.469504699272476,2.51965964187368,2.535605384026563,2.7612726951621918,2.7801968090239426,2.707341389511103,2.9781104157589042,2.7926206425998576
2025-11-24,1.160732984293195,2.979905046711949,2.4558538737344113,2.5057315719264337,2.5215891698679416,2.746009046611215,2.7648285525421263,2.692375860192173,2.961648140659531,2.777183710166662
2025-11-25,1.1712041884816766,2.9937881317881447,2.46729545584166,2.5174055293330797,2.533337006266661,2.7588024331844454,2.7777096173459834,2.7049193750150318,2.9754461686027036,2.790122336436989
2025-11-26,1.178795811518326,2.9819021243170254,2.457499741873058,2.5074108671818816,2.523279092594138,2.7478493714149788,2.7666814898329473,2.694180241019935,2.9636329828216508,2.7790449276570905
2025-11-27,1.1777486910994777,2.9858680789295837,2.4607682369578434,2.510745744478217,2.526635074762177,2.7515040339206016,2.770361199212609,2.697763523136005,2.967574639324157,2.7827410805118302
2025-11-28,1.1811518324607342,3.002764041406852,2.4746928467188343,2.52495315912859,2.5409324014653167,2.7670738138587168,2.7860376851232513,2.7130292046914306,2.9843670857514923,2.798487619755164
2025-12-01,1.1947643979057605,3.0249435024674427,2.492971790010365,2.5436033425930455,2.559700613179178,2.787512384808669,2.8066163298314044,2.733068583334551,3.006410660490026,2.8191582240167707
2025-12-02,1.1892670157068077,3.01199974247435,2.4823043416784794,2.532719241399983,2.5487476316229483,2.7755845946673636,2.794606793740433,2.7213737587011364,2.993546202691619,2.807095021049687
2025-12-03,1.1837696335078545,3.007768662941462,2.478817346993066,2.529161426837876,2.545167301323917,2.7716856171858293,2.7906810949959335,2.7175509334035755,2.9893410456026754,2.803151779580258
2025-12-04,1.1869109947643992,2.999303526862823,2.4718409041519247,2.5220432944140576,2.538004121584043,2.763884918878886,2.78282693536182,2.7099025930457112,2.980927772651111,2.795262522153119
2025-12-05,1.197643979057593,3.018363531623116,2.4875489840370912,2.5380704009628494,2.5541326561607467,2.781448883058875,2.800511272462089,2.7271235097888082,2.9998710029804028,2.813025885047649
2025-12-08,1.2065445026178026,3.011491600640437,2.4818855625322787,2.5322919569676627,2.548317643108192,2.7751163374407026,2.7941353273584104,2.7209146471570653,2.993041174076945,2.8066214478312537
2025-12-09,1.2002617801047135,2.9945664228190547,2.397271404877295,2.471546395255752,2.4957723492478894,2.7595196353027265,2.778431734739228,2.6281513447728093,2.9762196912983785,2.739295168216418
2025-12-10,1.1986910994764413,3.0075430980096924,2.4054928638558892,2.480394919322897,2.504832935410541,2.77147775709179,2.7904718103529556,2.6371646081132165,2.9891168626336535,2.7491022749207485
2025-12-11,1.189790575916232,3.01151126922202,2.3856163199589067,2.465748531823589,2.4920115135188063,2.7751344622138463,2.7941535763479237,2.6406440996247458,2.993060722155545,2.752729457691397
