lookback,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count
25,5.9832133198122825,0.21474883122452249,0.2481062365090165,0.865551927457165,-0.25350949628406283,930
24,4.257224567905129,0.18071419752858642,0.24787510230861823,0.7290534460519849,-0.255718058790381,921
26,3.6629899646714446,0.16662313393381623,0.2489313011655397,0.6693538866091074,-0.25350949628406294,928
