total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,max_drawdown_integral,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,strategy,weak_ratio_cut,weak_breadth_cut,weak_cap,extreme_ratio_cut,extreme_breadth_cut,extreme_cap,extreme_short_ratio_cut,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change,drawdown_integral_definition,drawdown_integral_recomputed
25.800723064151992,0.2649121453903582,0.2098601192046828,1.2623272415659952,-0.2338542704787564,43.74074508964047,1574,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap30_evr890_evb-15_ecap15_evs95,0.9,-0.03,0.3,0.89,-0.035,0.15,0.95,-0.0004081431746711,-0.0022245805535341,0.5151578826163572,False,full_history,False
25.800723064151992,0.2649121453903582,0.2098601192046828,1.2623272415659952,-0.2338542704787564,43.74074508964047,1574,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap30_evr895_evb-15_ecap15_evs95,0.9,-0.03,0.3,0.895,-0.035,0.15,0.95,-0.0004081431746711,-0.0022245805535341,0.5151578826163572,False,full_history,False
25.79998997462457,0.264909672751296,0.2098600275408736,1.2623160106071207,-0.2338542704787564,43.74074508964047,1576,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap30_evr885_evb-15_ecap15_evs95,0.9,-0.03,0.3,0.885,-0.035,0.15,0.95,-0.0004106158137333,-0.0022358115124085,0.5151578826163572,False,full_history,False
25.73495012561571,0.2646900493746589,0.2098291441551809,1.261455125503944,-0.2328730374081216,43.59782798867084,1587,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap25_evr890_evb-20_ecap15_evs95,0.9,-0.03,0.25,0.89,-0.04,0.15,0.95,-0.0006302391903705,-0.0030966966155852,0.372240781646731,False,full_history,False
25.73495012561571,0.2646900493746589,0.2098291441551809,1.261455125503944,-0.2328730374081216,43.59782798867084,1587,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap25_evr895_evb-20_ecap15_evs95,0.9,-0.03,0.25,0.895,-0.04,0.15,0.95,-0.0006302391903705,-0.0030966966155852,0.372240781646731,False,full_history,False
25.734462732474043,0.2646884016973663,0.2098290815556995,1.2614476493674414,-0.2328730374081216,43.59782798867084,1589,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap25_evr885_evb-20_ecap15_evs95,0.9,-0.03,0.25,0.885,-0.04,0.15,0.95,-0.0006318868676631,-0.0031041727520879,0.372240781646731,False,full_history,False
25.729017599067532,0.264669992026959,0.2097560796436881,1.2617989069806843,-0.2335138538309243,43.80471986087056,1589,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr890_evb-15_ecap10_evs95,0.9,-0.025,0.25,0.89,-0.035,0.1,0.95,-0.0006502965380703,-0.0027529151388447,0.5791326538464503,False,full_history,False
25.729017599067532,0.264669992026959,0.2097560796436881,1.2617989069806843,-0.2335138538309243,43.80471986087056,1589,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr895_evb-15_ecap10_evs95,0.9,-0.025,0.25,0.895,-0.035,0.1,0.95,-0.0006502965380703,-0.0027529151388447,0.5791326538464503,False,full_history,False
25.72828667842551,0.2646675205628881,0.209755998538369,1.2617876123074234,-0.2335138538309243,43.80471986087056,1591,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr885_evb-15_ecap10_evs95,0.9,-0.025,0.25,0.885,-0.035,0.1,0.95,-0.0006527680021413,-0.0027642098121059,0.5791326538464503,False,full_history,False
25.713014495726625,0.2646158663278903,0.2097997173446025,1.2612784691852117,-0.2335138538309242,43.80471986087059,1587,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap25_evr890_evb-20_ecap10_evs95,0.9,-0.03,0.25,0.89,-0.04,0.1,0.95,-0.000704422237139,-0.0032733529343178,0.5791326538464787,False,full_history,False
25.713014495726625,0.2646158663278903,0.2097997173446025,1.2612784691852117,-0.2335138538309242,43.80471986087059,1587,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap25_evr895_evb-20_ecap10_evs95,0.9,-0.03,0.25,0.895,-0.04,0.1,0.95,-0.000704422237139,-0.0032733529343178,0.5791326538464787,False,full_history,False
25.71228401269888,0.2646133949695941,0.2097996362547883,1.2612671770709742,-0.2335138538309242,43.80471986087059,1589,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap25_evr885_evb-20_ecap10_evs95,0.9,-0.03,0.25,0.885,-0.04,0.1,0.95,-0.0007068935954352,-0.003284645048555,0.5791326538464787,False,full_history,False
25.67878750125084,0.2645000026486304,0.2097929243735298,1.2607670322460272,-0.2328730374081222,43.59782798867097,1589,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr890_evb-15_ecap15_evs95,0.9,-0.025,0.25,0.89,-0.035,0.15,0.95,-0.000820285916399,-0.0037847898735021,0.3722407816468589,False,full_history,False
25.67878750125084,0.2645000026486304,0.2097929243735298,1.2607670322460272,-0.2328730374081222,43.59782798867097,1589,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr895_evb-15_ecap15_evs95,0.9,-0.025,0.25,0.895,-0.035,0.15,0.95,-0.000820285916399,-0.0037847898735021,0.3722407816468589,False,full_history,False
25.67830113198531,0.2644983552189366,0.2097928617590107,1.2607595558840612,-0.2328730374081222,43.59782798867097,1591,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr885_evb-15_ecap15_evs95,0.9,-0.025,0.25,0.885,-0.035,0.15,0.95,-0.0008219333460928,-0.0037922662354681,0.3722407816468589,False,full_history,False
25.67470569055583,0.2644861758766614,0.2098109483773905,1.2605928237878496,-0.2344942687638839,43.947518167569186,1577,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap30_evr890_evb-15_ecap10_evs95,0.9,-0.025,0.3,0.89,-0.035,0.1,0.95,-0.0008341126883679,-0.0039589983316796,0.7219309605450732,False,full_history,False
25.67470569055583,0.2644861758766614,0.2098109483773905,1.2605928237878496,-0.2344942687638839,43.947518167569186,1577,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap30_evr895_evb-15_ecap10_evs95,0.9,-0.025,0.3,0.895,-0.035,0.1,0.95,-0.0008341126883679,-0.0039589983316796,0.7219309605450732,False,full_history,False
25.673732842940204,0.2644828801516685,0.2098108432102589,1.2605777475791409,-0.2344942687638839,43.947518167569186,1579,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap30_evr885_evb-15_ecap10_evs95,0.9,-0.025,0.3,0.885,-0.035,0.1,0.95,-0.0008374084133608,-0.0039740745403884,0.7219309605450732,False,full_history,False
25.624578416670047,0.2643162137818862,0.2098477801076529,1.259561638661561,-0.2338542704787564,43.74074508964047,1577,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap30_evr890_evb-15_ecap15_evs95,0.9,-0.025,0.3,0.89,-0.035,0.15,0.95,-0.0010040747831432,-0.0049901834579686,0.5151578826163572,False,full_history,False
25.624578416670047,0.2643162137818862,0.2098477801076529,1.259561638661561,-0.2338542704787564,43.74074508964047,1577,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap30_evr895_evb-15_ecap15_evs95,0.9,-0.025,0.3,0.895,-0.035,0.15,0.95,-0.0010040747831432,-0.0049901834579686,0.5151578826163572,False,full_history,False
25.623850145288618,0.2643137423077459,0.2098476884193883,1.2595504115323168,-0.2338542704787564,43.74074508964047,1579,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap30_evr885_evb-15_ecap15_evs95,0.9,-0.025,0.3,0.885,-0.035,0.15,0.95,-0.0010065462572834,-0.0050014105872124,0.5151578826163572,False,full_history,False
25.597571690274297,0.2642245212712326,0.209766402473747,1.2596131609031205,-0.235646212693049,44.44862852690584,1583,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap25_evr895_evb-15_ecap15_evsna,0.9,-0.03,0.25,0.895,-0.035,0.15,,-0.0010957672937967,-0.0049386612164088,1.2230413198817232,False,full_history,False
25.583168314940217,0.2641755839654578,0.2098980311141577,1.2585900999794517,-0.2338542704787582,43.740745089640775,1573,0.821172109443954,159941,纳指ETF,纳指ETF广发,0.1170523751304608,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap30_evr890_evb-20_ecap15_evs95,0.9,-0.03,0.3,0.89,-0.04,0.15,0.95,-0.0011447045995716,-0.0059617221400778,0.5151578826166627,False,full_history,False
