total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,variant,split_gap,split_ratio,split_days,annualized_return_diff_vs_base,sharpe_rf0_diff_vs_base,max_drawdown_diff_vs_base,max_drawdown_integral_diff_vs_base,trade_count_diff_vs_base,split_days_diff_vs_base
24.57377196599477,0.26016992508954484,0.20600385705973479,1.2629371546868833,-0.18982759788871417,904,1541,0.8134597768643571,0.15379310344827646,1.0,188.78363487448706,30.22536807840936,188.78363487448706,30.22536807840936,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,baseline,0.005,100/0,0,0.0,0.0,0.0,0.0,0,0
12.199126832561403,0.20209095971368085,0.20585162748455402,0.9817311729966509,-0.20966745851374313,904,1577,0.8134597768643571,0.15379310344827646,1.0,231.65815123193124,8.512224024954547,231.65815123193124,8.512224024954547,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,top2_split_70_30,0.005,70/30,29,-0.05807896537586399,-0.28120598169023237,-0.01983986062502896,42.87451635744418,0,29
12.094046490844837,0.20140571678568064,0.20580622536966262,0.9786181949740446,-0.20966745851374313,904,1575,0.8134597768643571,0.15379310344827646,1.0,232.21652369963516,8.56345061962226,232.21652369963516,8.56345061962226,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,top2_split_60_40,0.005,60/40,29,-0.058764208303864196,-0.2843189597128387,-0.01983986062502896,43.4328888251481,0,29
11.987473409265373,0.2007055034018197,0.20577427480519336,0.9753673222361139,-0.20966745851374302,902,1573,0.8134597768643571,0.15379310344827646,1.0,232.7839470832307,8.614575294796445,232.7839470832307,8.614575294796445,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,top2_split_50_50,0.005,50/50,29,-0.059464421687725144,-0.2875698324507694,-0.01983986062502885,44.00031220874362,-2,29
