total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,pool,change_kind,start_date,risk_codes,defensive_codes,annualized_diff,sharpe_diff,max_drawdown_integral_diff,mdd_diff,trade_diff,is_valid_change
5.232813760040323,0.3189842098714313,0.25312112906291556,1.2602038046067061,-0.20966745851374347,495,879,0.91191,0.12676767676767664,0.8,110.35987310473507,9.298551621147226,110.35987310473507,9.298551621147226,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,base_pool,base,2019-12-05,"510300,159949,159954,159941,513880","518880,512890,159985",0.0,0.0,0.0,0.0,0,False
3.024769177704422,0.47482588186203434,0.26194531388289993,1.8126908812512696,-0.20966745851374313,268,464,0.894562137049942,0.12676767676767664,0.8,39.849042341229165,9.33169353520021,39.849042341229165,9.33169353520021,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,restore_511580,add,2022-12-14,"510300,159949,159954,159941,513880","518880,512890,159985,511580",0.15584167199060306,0.5524870766445635,-70.51083076350591,3.3306690738754696e-16,-227,False
2.5886959853234193,0.47635511584179646,0.26830516866900694,1.7754228075622691,-0.20966745851374347,243,408,0.886632241813602,0.12676767676767664,0.8,40.59015386457226,9.298551621147213,40.59015386457226,9.298551621147213,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,restore_513650,add,2023-04-04,"510300,159949,159954,159941,513880,513650","518880,512890,159985",0.15737090597036518,0.515219002955563,-69.76971924016281,0.0,-252,False
3.8723708173965434,0.2707451891890682,0.2661756229122827,1.0171674859883446,-0.2657179256142793,524,936,0.91315125,0.12676767676767664,0.8,171.38692669522771,100.82340150662343,171.38692669522771,100.82340150662343,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_resource_510410,add,2019-12-05,"510300,159949,159954,159941,513880,510410","518880,512890,159985",-0.048239020682363076,-0.2430363186183615,61.02705359049264,-0.05605046710053585,29,False
5.157508696153747,0.31656055847317033,0.2756046135196203,1.1486039889917676,-0.26734232939242164,495,895,0.9152225,0.12676767676767664,0.8,134.3654648500829,22.01758320878544,134.3654648500829,22.01758320878544,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_energy_159930,add,2019-12-05,"510300,159949,159954,159941,513880,159930","518880,512890,159985",-0.002423651398260951,-0.11159981561493848,24.00559174534783,-0.057674870878678175,0,False
3.637364506912296,0.2612758913684494,0.2611485163476538,1.0004877493564852,-0.26780803890395133,505,908,0.91341,0.12676767676767664,0.8,154.06624947196855,21.752555698871486,154.06624947196855,21.752555698871486,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_energy_159930_defensive,add,2019-12-05,"510300,159949,159954,159941,513880","518880,512890,159985,159930",-0.05770831850298186,-0.2597160552502209,43.706376367233474,-0.05814058039020786,10,False
4.279996644499265,0.2862873632587257,0.25252124772056445,1.1337159381357338,-0.20966745851374313,528,923,0.9007225,0.12676767676767664,0.8,105.12046363631245,9.298551621147194,105.12046363631245,9.298551621147194,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_hshares_510900,add,2019-12-05,"510300,159949,159954,159941,513880,510900","518880,512890,159985",-0.032696846612705555,-0.12648786647097232,-5.239409468422622,3.3306690738754696e-16,33,False
4.2546164628547025,0.29761544252712646,0.28135767858634314,1.0577832601636075,-0.37608477567784204,486,867,0.9094744336569579,0.12676767676767664,0.8,213.90064466164102,171.06379522562136,213.90064466164102,171.06379522562136,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_coal_515220,add,2020-03-02,"510300,159949,159954,159941,513880,515220","518880,512890,159985",-0.021368767344304818,-0.20242054444309865,103.54077155690595,-0.16641731716409858,-9,False
4.984428078156116,0.3108932446384729,0.24988015743127434,1.2441693963794596,-0.2203508882440981,526,932,0.90577375,0.12676767676767664,0.8,120.59774428910262,45.07670241572723,120.59774428910262,45.07670241572723,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_soymeal_159985,add,2019-12-05,"510300,159949,159954,159941,513880,159985","518880,512890,159985",-0.00809096523295838,-0.016034408227246555,10.237871184367549,-0.010683429730354632,31,False
5.232813760040323,0.3189842098714313,0.25312112906291556,1.2602038046067061,-0.20966745851374347,495,879,0.91191,0.12676767676767664,0.8,110.35987310473507,9.298551621147226,110.35987310473507,9.298551621147226,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_soymeal_159985_defensive,add,2019-12-05,"510300,159949,159954,159941,513880","518880,512890,159985",0.0,0.0,0.0,0.0,0,False
3.3111560279513688,0.24743273047994796,0.2581448755402328,0.9585033596430416,-0.20966745851374302,505,900,0.9126341463414634,0.12676767676767664,0.8,122.81624788573741,9.298551621147192,122.81624788573741,9.298551621147192,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_germany_513030,add,2019-12-05,"510300,159949,159954,159941,513880,513030","518880,512890,159985",-0.07155147939148332,-0.30170044496366455,12.456374781002339,4.440892098500626e-16,10,False
