date,historical_nav
2017-10-12,1.9309865351215616
2017-10-13,1.932034507713487
2017-10-16,1.9359809714197107
2017-10-17,1.9303692986885819
2017-10-18,1.9310454103835188
2017-10-19,1.9275439765688003
2017-10-20,1.9268695313261037
2017-10-23,1.9243044129306912
2017-10-24,1.93182804888557
2017-10-25,1.9289568781345108
2017-10-26,1.937270167345735
2017-10-27,1.9327816838004552
2017-10-30,1.9325667242071154
2017-10-31,1.9350958137129768
2017-11-01,1.9303845846196703
2017-11-02,1.9239673273181503
2017-11-03,1.925552717970936
2017-11-06,1.933394885748189
2017-11-07,1.9468309702010853
2017-11-08,1.9436057658571844
2017-11-09,1.9507605204805192
2017-11-10,1.955639776635077
2017-11-13,1.951713688377459
2017-11-14,1.9516290305179929
2017-11-15,1.945645010087767
2017-11-16,1.9497763446559917
2017-11-17,1.9555366006376982
2017-11-20,1.9506872124081533
2017-11-21,1.9645466033911387
2017-11-22,1.9626740962086442
2017-11-23,1.9003815227933871
2017-11-24,1.901253560480724
2017-11-27,1.8947390925411562
2017-11-28,1.897896077811323
2017-11-29,1.8982069660883594
2017-11-30,1.873234615377362
2017-12-01,1.8651431871163848
2017-12-04,1.8719126395435643
2017-12-05,1.8745914740758678
2017-12-06,1.8642809574372823
2017-12-07,1.8512930273777604
2017-12-08,1.8414085803313502
2017-12-11,1.8499729104570066
2017-12-12,1.840478912165788
2017-12-13,1.8444315393630315
2017-12-14,1.8526047418091658
2017-12-15,1.8455781734792898
2017-12-18,1.8456819253525267
2017-12-19,1.8523081581436205
2017-12-20,1.8496919559163556
2017-12-21,1.8480796871070198
2017-12-22,1.8486723061191654
2017-12-25,1.8547449202851916
2017-12-26,1.8487685958102071
2017-12-27,1.8537190001451438
2017-12-28,1.852927462132082
2017-12-29,1.864068237303635
2018-01-02,1.8705188572670322
2018-01-03,1.8767100815208229
2018-01-04,1.8726799808141645
2018-01-05,1.8782395678124058
2018-01-08,1.8811027614521434
2018-01-09,1.8876248289930782
2018-01-10,1.8869690970011668
2018-01-11,1.885011575982902
2018-01-12,1.8916069669310256
2018-01-15,1.886687173004829
2018-01-16,1.9057088725216418
2018-01-17,1.900105636807265
2018-01-18,1.9112363136174593
