date,strategy_nav,benchmark_nav,strategy_return,benchmark_return
2021-06-07,1.0,1.0,0.0,0.0
2021-06-08,0.9995,0.9920589903573457,-0.0004999999999999449,-0.007941009642654318
2021-06-09,0.9995,0.9935715636226132,0.0,0.0015246807699638154
2021-06-10,0.9995,1.0000000000000002,0.0,0.006470028544243611
2021-06-11,0.9995,0.9907354887502366,0.0,-0.009264511249763574
2021-06-15,0.9995,0.9795802609188884,0.0,-0.011259541984733001
2021-06-16,0.9995,0.9661561731896391,0.0,-0.013703918162516815
2021-06-17,0.9995,0.968235961429382,0.0,0.002152641878669259
2021-06-18,0.9995,0.9691813197201739,0.0,0.0009763718023820811
2021-06-21,0.9995,0.9678578181130648,0.0,-0.0013655872024970206
2021-06-22,0.9995,0.9727736812251845,0.0,0.005079117015042156
2021-06-23,0.9995,0.9786349026280963,0.0,0.00602526724975716
2021-06-24,0.9995,0.9810928341841563,0.0,0.002511591962905957
2021-06-25,0.9995,0.9964076384949898,0.0,0.01560994411254546
2021-06-28,0.9995,0.9981092834184158,0.0,0.0017077798861480087
2021-06-29,0.9995,0.98789941387786,0.0,-0.010229210077666195
2021-06-30,0.9995,0.9937606352807719,0.0,0.005933014354067234
2021-07-01,0.9995,0.9933824919644548,0.0,-0.0003805175038052999
2021-07-02,0.9995,0.9667233881641145,0.0,-0.0268366958507803
2021-07-05,0.9995,0.9680468897712234,0.0,0.00136905926070785
2021-07-06,0.9995,0.9693703913783324,0.0,0.0013671874999998668
2021-07-07,0.9995,0.9793911892607297,0.0,0.010337429295884437
2021-07-08,0.9995,0.9710720363017581,0.0,-0.008494208494208566
2021-07-09,0.9995,0.9665343165059554,0.0,-0.004672897196261738
2021-07-12,0.9995,0.9793911892607295,0.0,0.013302034428795073
2021-07-13,0.9995,0.9824163357912645,0.0,0.003088803088802994
2021-07-14,0.9995,0.9716392512762333,0.0,-0.010969976905311873
2021-07-15,0.9995,0.9844961240310073,0.0,0.013232146331971117
2021-07-16,0.9995,0.9748534694649267,0.0,-0.00979450739389287
2021-07-19,0.9917652521079259,0.9790130459444125,-0.00773861720067448,0.004266873545384131
2021-07-20,0.9910917273187185,0.9765551143883527,-0.0006791171477078528,-0.002510621861722684
2021-07-21,0.9961431632377742,0.9839289090565319,0.0050968399592252744,0.007550822846079219
2021-07-22,1.0062460350758853,0.9848742673473241,0.010141987829614507,0.0009607993850884178
2021-07-23,1.0143283325463743,0.9750425411230852,0.008032128514056325,-0.009982722211556827
