year,start_date,end_date,strategy_return,benchmark_return,excess_return
2021,2021-06-07,2021-12-31,0.04310954807219147,-0.053129135942522554,0.09623868401471403
2022,2021-12-31,2022-12-30,0.15567386981008213,-0.2013201471787387,0.35699401698882083
2023,2022-12-30,2023-12-29,0.09310316209977554,-0.09775224647250813,0.19085540857228367
2024,2023-12-29,2024-12-31,-0.11813488280543283,0.17374101990322277,-0.2918759027086556
2025,2024-12-31,2025-12-31,0.6494193583982955,0.20838818873246456,0.4410311696658309
2026,2025-12-31,2026-06-05,0.10994751051249829,0.0633032906190536,0.046644219893444694
