theme,code,name,sina_symbol
沪深300,510300,沪深300ETF华泰柏瑞,sh510300
创业板50,159949,创业板50ETF华安,sz159949
H股,159954,H股ETF,sz159954
纳指ETF,159941,纳指ETF广发,sz159941
日经ETF,513880,日经225ETF华安,sh513880
黄金ETF,518880,黄金ETF华安,sh518880
红利低波ETF,512890,红利低波ETF华泰柏瑞,sh512890
豆粕,159985,豆粕ETF,sz159985
政金ETF,511580,国债政金债ETF招商,sh511580
十年国债ETF,511260,十年国债ETF,sh511260
现金替代,CASH,现金替代,
