total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,ratio_cut,breadth_cut,risk_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
25.921843563318635,0.26238138130853383,0.21090451981256783,1.2440766160047865,-0.18982759788871417,901,1602,0.8235016011644832,0.026011560693641522,0.8,189.87008199088228,30.22536807840936,189.87008199088228,30.22536807840936,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2,,,,0.0,0.0,0.0,False
19.94623326585093,0.2401610813381645,0.2109993709596851,1.1382075702209142,-0.218384197705622,901,1631,0.8235016011644832,0.026011560693641522,0.8,214.52056473642364,39.30498552231711,214.52056473642364,39.30498552231711,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb069_rc180,0.9,-0.031,0.18,-0.02222029997036934,-0.10586904578387224,24.650482745541353,False
19.94392738460801,0.24015142075067764,0.2110006721333804,1.1381547666297012,-0.21840998136489465,901,1631,0.8235016011644832,0.026011560693641522,0.8,214.52642885136888,39.309680575132276,214.52642885136888,39.309680575132276,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb069_rc181,0.9,-0.031,0.181,-0.0222299605578562,-0.10592184937508531,24.656346860486593,False
19.941621238362494,0.24014175806437854,0.21100198185610694,1.1381019076311023,-0.21843576517137409,901,1631,0.8235016011644832,0.026011560693641522,0.8,214.53229323967008,39.314375742156955,214.53229323967008,39.314375742156955,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb069_rc182,0.9,-0.031,0.182,-0.022239623244155293,-0.10597470837368417,24.6622112487878,False
19.939314827249163,0.2401320932792812,0.21100330012771978,1.1380489932334226,-0.21846154912500482,901,1631,0.8235016011644832,0.026011560693641522,0.8,214.53815790131455,39.319071023381085,214.53815790131455,39.319071023381085,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb069_rc183,0.9,-0.031,0.183,-0.022249288029252634,-0.1060276227713639,24.668075910432265,False
19.93700815140208,0.2401224263953965,0.2110046269480728,1.1379960234449715,-0.21848733322573244,901,1631,0.8235016011644832,0.026011560693641522,0.8,214.54402283629088,39.32376641879469,214.54402283629088,39.32376641879469,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb069_rc184,0.9,-0.031,0.184,-0.02225895491313734,-0.10608059255981495,24.673940845408595,False
19.683391538667024,0.23905347891809758,0.2109736152231942,1.1330965659625116,-0.2183841977056209,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.85230671397443,39.30498552231691,214.85230671397443,39.30498552231691,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb070_rc180,0.9,-0.03,0.18,-0.02332790239043625,-0.11098005004227485,24.982224723092145,False
19.683391538667024,0.23905347891809758,0.2109736152231942,1.1330965659625116,-0.2183841977056209,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.85230671397443,39.30498552231691,214.85230671397443,39.30498552231691,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb071_rc180,0.9,-0.029,0.18,-0.02332790239043625,-0.11098005004227485,24.982224723092145,False
19.681768619950134,0.2390465994775024,0.2109749346958449,1.1330568715289682,-0.2184099813648961,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.8575965196742,39.30968057513256,214.8575965196742,39.30968057513256,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb070_rc181,0.9,-0.03,0.181,-0.023334781831031437,-0.1110197444758183,24.987514528791905,False
19.681768619950134,0.2390465994775024,0.2109749346958449,1.1330568715289682,-0.2184099813648961,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.8575965196742,39.30968057513256,214.8575965196742,39.30968057513256,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb071_rc181,0.9,-0.029,0.181,-0.023334781831031437,-0.1110197444758183,24.987514528791905,False
