name,annualized_return,sharpe_rf0,max_drawdown,max_drawdown_integral,trade_action_count,breadth_blend_floor,above_ma20_floor,annualized_diff,sharpe_diff,max_drawdown_diff,max_drawdown_integral_diff,drawdown_integral_definition,drawdown_integral_recomputed
baseline,0.2334290188089596,1.1148831224177314,-0.218645177956657,9.498582488906232,1418,,,0.0,0.0,0.0,0.0,full_history,False
relief_breadth_blend_ge_m2,0.2334290188089596,1.1148831224177314,-0.218645177956657,9.498582488906232,1418,-0.02,,0.0,0.0,0.0,0.0,full_history,False
relief_breadth_blend_ge_m1,0.2334290188089596,1.1148831224177314,-0.218645177956657,9.498582488906232,1418,-0.01,,0.0,0.0,0.0,0.0,full_history,False
relief_breadth_blend_ge_0,0.2334290188089596,1.1148831224177314,-0.218645177956657,9.498582488906232,1418,0.0,,0.0,0.0,0.0,0.0,full_history,False
relief_above_ma20_ge_55,0.2334290188089596,1.1148831224177314,-0.218645177956657,9.498582488906232,1418,,0.55,0.0,0.0,0.0,0.0,full_history,False
relief_above_ma20_ge_60,0.2334290188089596,1.1148831224177314,-0.218645177956657,9.498582488906232,1418,,0.6,0.0,0.0,0.0,0.0,full_history,False
relief_above_ma20_ge_65,0.2334290188089596,1.1148831224177314,-0.218645177956657,9.498582488906232,1418,,0.65,0.0,0.0,0.0,0.0,full_history,False
relief_combo_m1_or_ma60,0.2334290188089596,1.1148831224177314,-0.218645177956657,9.498582488906232,1418,-0.01,0.6,0.0,0.0,0.0,0.0,full_history,False
