code,theme,name,price,mom_25,price_date,mom_25_percentile
159985,豆粕,豆粕ETF,2.4110,15.52%,2026-09-04,99.80%
518880,黄金ETF,黄金ETF华安,9.1990,9.08%,2026-09-04,86.44%
159941,纳指ETF,纳指ETF广发,1.6560,5.21%,2026-09-04,68.19%
513880,日经ETF,日经225ETF华安,2.1260,5.04%,2026-09-04,71.76%
512890,红利低波ETF,红利低波ETF华泰柏瑞,1.2090,0.42%,2026-09-04,48.61%
511260,十年国债ETF,十年国债ETF,138.6803,0.36%,2026-09-04,43.32%
510300,沪深300,沪深300ETF华泰柏瑞,5.8048,-0.06%,2026-09-04,49.54%
159954,H股,H股ETF,0.9370,-0.53%,2026-09-04,44.78%
159949,创业板50,创业板50ETF华安,1.5670,-1.01%,2026-09-04,44.64%
