Date of Data,Code,Company Name,Nikkei Industrial Classification,Sector,Weight
"2026/06/30","8630","SOMPO HOLDINGS, INC.","Insurance","Financials","0.1791%"
"2026/06/30","8697","JAPAN EXCHANGE GROUP, INC.","Other Financial Services","Financials","0.1957%"
"2026/06/30","8725","MS&AD INSURANCE GROUP HOLDINGS, INC.","Insurance","Financials","0.1826%"
"2026/06/30","8750","DAIICHI LIFE GROUP, INC.","Insurance","Financials","0.0340%"
"2026/06/30","8766","TOKIO MARINE HOLDINGS, INC.","Insurance","Financials","0.5169%"
"2026/06/30","8795","T&D HOLDINGS, INC.","Insurance","Financials","0.0460%"
"2026/06/30","8801","MITSUI FUDOSAN CO., LTD.","Real Estate","Capital Goods/Others","0.2152%"
"2026/06/30","8802","MITSUBISHI ESTATE CO., LTD.","Real Estate","Capital Goods/Others","0.1983%"
"2026/06/30","8804","TOKYO TATEMONO CO., LTD.","Real Estate","Capital Goods/Others","0.0789%"
"2026/06/30","8830","SUMITOMO REALTY & DEVELOPMENT CO., LTD.","Real Estate","Capital Goods/Others","0.3580%"
"2026/06/30","9001","TOBU RAILWAY CO., LTD.","Railway & Bus","Transportation and Utilities","0.0280%"
"2026/06/30","9005","TOKYU CORP.","Railway & Bus","Transportation and Utilities","0.0401%"
"2026/06/30","9007","ODAKYU ELECTRIC RAILWAY CO., LTD.","Railway & Bus","Transportation and Utilities","0.0399%"
"2026/06/30","9008","KEIO CORP.","Railway & Bus","Transportation and Utilities","0.0358%"
"2026/06/30","9009","KEISEI ELECTRIC RAILWAY CO., LTD.","Railway & Bus","Transportation and Utilities","0.0833%"
"2026/06/30","9020","EAST JAPAN RAILWAY CO.","Railway & Bus","Transportation and Utilities","0.0489%"
"2026/06/30","9021","WEST JAPAN RAILWAY CO.","Railway & Bus","Transportation and Utilities","0.0261%"
"2026/06/30","9022","CENTRAL JAPAN RAILWAY CO., LTD.","Railway & Bus","Transportation and Utilities","0.0830%"
"2026/06/30","9064","YAMATO HOLDINGS CO., LTD.","Land Transport","Transportation and Utilities","0.0878%"
"2026/06/30","9101","NIPPON YUSEN K.K.","Marine Transport","Transportation and Utilities","0.0749%"
"2026/06/30","9104","MITSUI O.S.K.LINES, LTD.","Marine Transport","Transportation and Utilities","0.0748%"
"2026/06/30","9107","KAWASAKI KISEN KAISHA, LTD.","Marine Transport","Transportation and Utilities","0.1070%"
"2026/06/30","9147","NIPPON EXPRESS HOLDINGS, INC.","Land Transport","Transportation and Utilities","0.0724%"
"2026/06/30","9201","JAPAN AIRLINES CO., LTD.","Air Transport","Transportation and Utilities","0.1364%"
"2026/06/30","9202","ANA HOLDINGS INC.","Air Transport","Transportation and Utilities","0.0142%"
"2026/06/30","9432","NTT, INC.","Communications","Technology","0.0694%"
"2026/06/30","9433","KDDI CORP.","Communications","Technology","1.5760%"
"2026/06/30","9434","SOFTBANK CORP.","Communications","Technology","0.0996%"
"2026/06/30","9501","TOKYO ELECTRIC POWER COMPANY HOLDINGS, I","Electric Power","Transportation and Utilities","0.0022%"
"2026/06/30","9502","CHUBU ELECTRIC POWER CO., INC.","Electric Power","Transportation and Utilities","0.0146%"
"2026/06/30","9503","THE KANSAI ELECTRIC POWER CO., INC.","Electric Power","Transportation and Utilities","0.0109%"
"2026/06/30","9531","TOKYO GAS CO., LTD.","Gas","Transportation and Utilities","0.0586%"
"2026/06/30","9532","OSAKA GAS CO., LTD.","Gas","Transportation and Utilities","0.0522%"
"2026/06/30","9602","TOHO CO., LTD","Services","Consumer Goods","0.0311%"
"2026/06/30","9735","SECOM CO., LTD.","Services","Consumer Goods","0.6178%"
"2026/06/30","9766","KONAMI GROUP CORP.","Services","Consumer Goods","0.8452%"
"2026/06/30","9843","NITORI HOLDINGS CO., LTD.","Retail","Consumer Goods","0.2888%"
"2026/06/30","9983","FAST RETAILING CO., LTD.","Retail","Consumer Goods","9.5091%"
"2026/06/30","9984","SOFTBANK GROUP CORP.","Communications","Technology","6.8473%"
"This material is a copyrightable work of Nikkei. It is prohibited to copy, reproduce, reprint, or circulate all or part of this material in any form without NikkeiÅfs permission."
