total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,ratio_cut,breadth_cut,risk_cap,short_ratio_cut,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
25.921843563318635,0.26238138130853383,0.21090451981256783,1.2440766160047865,-0.18982759788871417,901,1602,0.8235016011644832,0.026011560693641522,0.8,189.87008199088228,30.22536807840936,189.87008199088228,30.22536807840936,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2,,,,,0.0,0.0,0.0,False
19.68014530564162,0.2390397178581809,0.21097626289768168,1.1330171203862367,-0.21843576517137464,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.86288659131293,39.31437574215709,214.86288659131293,39.31437574215709,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb070_rc182_srna,0.9,-0.03,0.182,,-0.023341663450352934,-0.11105949561854978,24.992804600430645,False
19.676897490668477,0.2390259480833623,0.21097894548830967,1.1329374480005008,-0.218487333225732,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.87346753236665,39.32376641879469,214.87346753236665,39.32376641879469,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb070_rc184_srna,0.9,-0.03,0.184,,-0.02335543322517153,-0.1111391680042857,25.003385541484363,False
19.67364809458436,0.23901216959364446,0.2109816629938596,1.132857548860067,-0.2185389018682672,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.88404953705765,39.33315755215162,214.88404953705765,39.33315755215162,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb070_rc186_srna,0.9,-0.03,0.186,,-0.02336921171488937,-0.11121906714471952,25.013967546175365,False
19.527188868065068,0.23838903611213547,0.21096438092926054,1.129996613940582,-0.21843576517137464,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.91533903606012,39.31437574215709,214.91533903606012,39.31437574215709,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb075_rc182_srna,0.9,-0.025,0.182,,-0.023992345196398368,-0.11408000206420454,25.045257045177834,False
19.52435265531179,0.2383769282760837,0.21096707136991283,1.1299248111479445,-0.218487333225732,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.92564117557185,39.32376641879469,214.92564117557185,39.32376641879469,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb075_rc184_srna,0.9,-0.025,0.184,,-0.024004453032450135,-0.11415180485684195,25.05555918468957,False
19.521514751280588,0.23836481166368362,0.21096979684582512,1.1298527809546053,-0.2185389018682672,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.9359443587055,39.33315755215162,214.9359443587055,39.33315755215162,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb075_rc186_srna,0.9,-0.025,0.186,,-0.024016569644850216,-0.11422383505018119,25.06586236782323,False
19.21034822384174,0.23702672841968386,0.2110970451778555,1.1228329994860033,-0.22005433549434306,901,1631,0.8235016011644832,0.026011560693641522,0.8,216.10582598035194,39.82772257116687,216.10582598035194,39.82772257116687,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb065_rc182_srna,0.9,-0.035,0.182,,-0.02535465288884997,-0.12124361651878313,26.235743989469654,False
19.208540082795015,0.23701889722771607,0.21109963037500573,1.122782151757757,-0.22006906943235127,901,1631,0.8235016011644832,0.026011560693641522,0.8,216.1058526845698,39.82544495998518,216.1058526845698,39.82544495998518,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb065_rc184_srna,0.9,-0.035,0.184,,-0.02536248408081776,-0.1212944642470295,26.235770693687527,False
19.206730175825996,0.2370110577353175,0.21110224840953,1.1227310913123265,-0.22008380620610435,901,1631,0.8235016011644832,0.026011560693641522,0.8,216.10588077652204,39.82316786555765,216.10588077652204,39.82316786555765,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr900_vb065_rc186_srna,0.9,-0.035,0.186,,-0.025370323573216336,-0.12134552469245996,26.23579878563976,False
