date,baseline_cf60top2_nav,baseline_cf60top2__trf2_vr895_vb065_rc182_srna_nav,baseline_cf60top2__trf2_vr895_vb065_rc182_sr920_nav,baseline_cf60top2__trf2_vr895_vb065_rc184_srna_nav,baseline_cf60top2__trf2_vr895_vb065_rc184_sr920_nav,baseline_cf60top2__trf2_vr895_vb065_rc186_srna_nav,baseline_cf60top2__trf2_vr895_vb065_rc186_sr920_nav,baseline_cf60top2__trf2_vr895_vb070_rc182_srna_nav,baseline_cf60top2__trf2_vr895_vb070_rc182_sr920_nav,baseline_cf60top2__trf2_vr895_vb070_rc184_srna_nav,baseline_cf60top2__trf2_vr895_vb070_rc184_sr920_nav,baseline_cf60top2__trf2_vr895_vb070_rc186_srna_nav,baseline_cf60top2__trf2_vr895_vb070_rc186_sr920_nav,baseline_cf60top2__trf2_vr895_vb075_rc182_srna_nav,baseline_cf60top2__trf2_vr895_vb075_rc182_sr920_nav,baseline_cf60top2__trf2_vr895_vb075_rc184_srna_nav,baseline_cf60top2__trf2_vr895_vb075_rc184_sr920_nav,baseline_cf60top2__trf2_vr895_vb075_rc186_srna_nav,baseline_cf60top2__trf2_vr895_vb075_rc186_sr920_nav,baseline_cf60top2__trf2_vr900_vb065_rc182_srna_nav,baseline_cf60top2__trf2_vr900_vb065_rc182_sr920_nav,baseline_cf60top2__trf2_vr900_vb065_rc184_srna_nav,baseline_cf60top2__trf2_vr900_vb065_rc184_sr920_nav,baseline_cf60top2__trf2_vr900_vb065_rc186_srna_nav,baseline_cf60top2__trf2_vr900_vb065_rc186_sr920_nav,baseline_cf60top2__trf2_vr900_vb070_rc182_srna_nav,baseline_cf60top2__trf2_vr900_vb070_rc182_sr920_nav,baseline_cf60top2__trf2_vr900_vb070_rc184_srna_nav,baseline_cf60top2__trf2_vr900_vb070_rc184_sr920_nav,baseline_cf60top2__trf2_vr900_vb070_rc186_srna_nav,baseline_cf60top2__trf2_vr900_vb070_rc186_sr920_nav,baseline_cf60top2__trf2_vr900_vb075_rc182_srna_nav,baseline_cf60top2__trf2_vr900_vb075_rc182_sr920_nav,baseline_cf60top2__trf2_vr900_vb075_rc184_srna_nav,baseline_cf60top2__trf2_vr900_vb075_rc184_sr920_nav,baseline_cf60top2__trf2_vr900_vb075_rc186_srna_nav,baseline_cf60top2__trf2_vr900_vb075_rc186_sr920_nav,baseline_cf60top2__trf2_vr905_vb065_rc182_srna_nav,baseline_cf60top2__trf2_vr905_vb065_rc182_sr920_nav,baseline_cf60top2__trf2_vr905_vb065_rc184_srna_nav,baseline_cf60top2__trf2_vr905_vb065_rc184_sr920_nav,baseline_cf60top2__trf2_vr905_vb065_rc186_srna_nav,baseline_cf60top2__trf2_vr905_vb065_rc186_sr920_nav,baseline_cf60top2__trf2_vr905_vb070_rc182_srna_nav,baseline_cf60top2__trf2_vr905_vb070_rc182_sr920_nav,baseline_cf60top2__trf2_vr905_vb070_rc184_srna_nav,baseline_cf60top2__trf2_vr905_vb070_rc184_sr920_nav,baseline_cf60top2__trf2_vr905_vb070_rc186_srna_nav,baseline_cf60top2__trf2_vr905_vb070_rc186_sr920_nav,baseline_cf60top2__trf2_vr905_vb075_rc182_srna_nav,baseline_cf60top2__trf2_vr905_vb075_rc182_sr920_nav,baseline_cf60top2__trf2_vr905_vb075_rc184_srna_nav,baseline_cf60top2__trf2_vr905_vb075_rc184_sr920_nav,baseline_cf60top2__trf2_vr905_vb075_rc186_srna_nav,baseline_cf60top2__trf2_vr905_vb075_rc186_sr920_nav,hs300_benchmark
2012-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0153609831029187
2012-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.012288786482335
2012-05-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9823348694316433
2012-06-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9834869431643621
2012-06-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827188940092163
2012-06-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9765745007680489
2012-06-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973118279569892
