year,start_date,end_date,strategy_return,hs300_etf_return,excess_return
2016,2016-07-18,2016-12-30,0.007731808281048913,0.014195107218362368,-0.006463298937313455
2017,2016-12-30,2017-12-29,0.08394572935934153,0.23368087754307476,-0.14973514818373324
2018,2017-12-29,2018-12-28,-0.09644708013850434,-0.2416418271617754,0.14519474702327106
2019,2018-12-28,2019-12-31,0.5184563040602967,0.3859357093623663,0.13252059469793043
2020,2019-12-31,2020-12-31,0.5448795038681926,0.2907714843749998,0.25410801949319284
2021,2020-12-31,2021-12-31,0.17460166503541097,-0.04040009838327496,0.21500176341868593
2022,2021-12-31,2022-12-30,0.413825687418264,-0.20132014717873992,0.6151458345970039
2023,2022-12-30,2023-12-29,0.15123202988050743,-0.0977522464725088,0.24898427635301623
2024,2023-12-29,2024-12-31,0.2509639529464094,0.17374101990322233,0.07722293304318706
2025,2024-12-31,2025-12-31,1.2100055883183884,0.2083881887324628,1.0016173995859257
2026,2025-12-31,2026-07-16,0.23023564815748188,0.02596032081046795,0.20427532734701392
